"시군구코드","연도","시군구명","노령화지수(인구총조사)","노령화지수(인구총조사)등급","인구순이동률","인구순이동률등급","인구변화율(인구총조사)","인구변화율(인구총조사)등급","평균교육년수","평균교육년수등급","독거노인가구비율","독거노인가구비율등급","기초생활수급자(천인당)","기초생활수급자(천인당)등급","소년소녀가장(천인당)","소년소녀가장(천인당)등급","노령화지수(주민등록인구통계)","노령화지수(주민등록인구통계)등급","인구변화율(주민등록인구통계)","인구변화율(주민등록인구통계)등급","고령인구수(인구총조사)","고령인구수(인구총조사)등급","고령인구수(주민등록인구통계)","고령인구수(주민등록인구통계)등급","노년부양비(인구총조사)","노년부양비(인구총조사)등급","노년부양비(주민등록인구통계)","노년부양비(주민등록인구통계)등급","세입자가구비율","세입자가구비율등급","경제활동인구(인구총조사)","경제활동인구(인구총조사)등급","경제활동인구(주민등록인구통계)","경제활동인구(주민등록인구통계)등급","종사자수(천명당)","종사자수(천명당)등급","사업체당종사자수","사업체당종사자수등급","제조업종사자비율","제조업종사자비율등급","고차산업종사자비율","고차산업종사자비율등급","재정자립도","재정자립도등급","지방세액(1인당)","지방세액(1인당)등급","지가변동률(주거)","지가변동률(주거)등급","지가변동률(상업)","지가변동률(상업)등급","의료보험료","의료보험료등급","도소매업종사자수(천명당)","도소매업종사자수(천명당)등급","총사업체수증감율","총사업체수증감율등급","총종사자수증감율","총종사자수증감율등급","도소매업체증감율","도소매업체증감율등급","제조업체증감율","제조업체증감율등급","주요산업별종사자수","주요산업별종사자수등급","총사업체수","총사업체수등급","노후주택비율","노후주택비율등급","신규주택비율","신규주택비율등급","공가율","공가율등급","부동산공시지가","부동산공시지가등급","노후건축물비율","노후건축물비율등급","소형주택비율","소형주택비율등급","주거면적(1인당)","주거면적(1인당)등급","주택보급율","주택보급율등급","접도율","접도율등급"
"47290","2005",경상북도 경산시,48.42,4,3.06,8,6.17,8,10.91,6,4.87,4,44.19,5,0.04,1,48.19,4,3.73,8,21519,6,21658,6,12.34,4,13.44,5,46.6,6,174414,6,161164,6,298.45,5,5.3,6,37.31,6,3.77,5,35.1,6,639.89,5,0.32,6,0,1,,,32.77,5,1.56,8,4.86,7,-2.41,10,6.91,7,25364,6,12821,6,22.67,4,17.91,5,9.68,6,18.02,2,,,63.7,5,23.8,5,117.11,5,57.03,6
"47720","2005",경상북도 군위군,307.44,7,-3.43,10,-14.59,10,7.49,5,18.84,7,65.36,6,0.4,6,261.04,7,-3.87,10,7723,3,7330,2,54.51,7,41.72,7,14.42,3,14169,1,17571,1,233.28,5,4.09,5,26.18,6,3.77,5,14.6,3,421.9,4,0.06,1,0,1,,,30.42,4,-0.06,10,3.13,6,-7.05,10,8.38,7,1692,1,1581,1,60.14,6,10.73,4,11.03,6,43.32,5,,,73.5,6,30.41,6,150.74,6,60.42,6
"48250","2005",경상남도 김해시,24.8,1,2.77,8,30.06,8,11.39,6,3.61,3,27.48,4,0.02,1,24.79,1,3.65,8,26465,6,26967,6,8.95,2,8.78,3,41.5,6,295698,7,307281,7,320.22,6,5.46,6,47.72,7,3.54,4,47.7,6,776.08,6,0.15,4,-0.04,1,,,38.4,5,7.53,8,10.07,7,6.61,8,9.4,7,67700,7,25967,7,14.11,2,37.65,6,9.22,6,46.13,5,,,62.93,5,22.81,5,112.05,5,49.39,5
"11680","2000",서울특별시 강남구,30.15,3,-1.2,10,-2.13,10,13.46,6,1.89,1,15.32,1,0.04,1,29.99,4,,,24783,6,26987,6,5.98,2,6.23,3,56.49,6,414464,7,433384,7,892.44,7,9.95,7,9.39,3,9.45,6,91.2,7,1546.62,7,-0.85,10,-1.26,10,,,217.04,7,,,,,,,,,119447,7,49365,7,19.81,5,11.66,3,2.27,2,,,,,52.52,5,24.13,6,95.08,5,51.81,6
"27110","2000",대구광역시 중구,72.2,6,-3.98,10,-20.63,10,10.43,6,6.11,5,31.29,5,0.17,2,67.3,6,,,8516,4,8583,4,12.96,5,12.17,5,52.71,6,65703,3,70543,3,912.12,7,3.39,5,7.54,1,12.55,7,58.1,6,775.91,7,-1.58,10,-1.3,10,,,314.37,7,,,,,,,,,28884,6,24718,7,52.35,7,7.4,1,3.98,4,,,,,61.01,5,20.83,5,94.69,5,56.92,6
"27170","2000",대구광역시 서구,30.07,3,-3.17,10,-19.03,10,10.04,6,2.84,3,21.43,3,0.06,1,28.87,3,,,15699,6,15339,6,7.35,3,7.05,3,57.19,6,213717,6,217721,6,272.46,5,3.93,5,38.19,6,4.39,5,41.9,6,238.81,4,-1.6,10,-1.56,10,,,53.92,6,,,,,,,,,29780,6,19830,6,24.27,5,14.37,4,1.81,1,,,,,48.91,5,17.85,5,65.3,4,51.45,6
"28140","2000",인천광역시 동구,58.33,5,-5.17,10,-29.71,10,9.63,6,5.41,5,47.96,6,0.58,6,55.42,5,,,6699,3,6613,3,12.27,5,11.5,5,36.03,6,54603,2,57512,2,425.19,6,4.12,5,36.02,6,2.36,2,29.4,5,291.28,5,-0.1,10,0.2,10,,,103.67,7,,,,,,,,,11649,4,7844,4,38.6,6,12.96,3,5.77,5,,,,,77.3,6,17.85,5,101.05,5,52.55,6
"28170","2000",인천광역시 미추홀구,33.61,4,-0.17,10,-3.74,10,10.67,6,2.4,2,27.37,4,0.1,1,32.54,4,,,26076,6,25986,6,8.55,4,8.26,4,38.84,6,305142,7,314513,7,226.94,5,3.92,5,19.27,5,10.61,6,39.3,6,288.47,5,-0.07,10,-0.37,10,,,42.09,5,,,,,,,,,18378,6,24312,6,20.88,5,16.59,4,2.86,3,,,,,68.83,5,19.5,5,95.16,5,56.8,6
"41130","2000",경기도 성남시,23.2,2,-0.62,10,5.23,7,11.63,6,1.82,1,24.21,4,0.05,1,23.15,2,,,45980,7,46703,7,6.88,3,6.91,3,53.91,6,668091,7,675954,7,184.44,5,4.68,6,20.42,5,9.22,6,83.9,7,452.47,6,-0.01,10,0.01,10,,,31.52,4,,,,,,,,,34822,6,36444,7,2.5,1,25.04,5,1.47,1,,,,,50.92,5,18.84,5,76.94,5,61.34,6
"41270","2000",경기도 안산시,14.5,1,1.84,8,10.31,7,11.16,6,1.34,1,30.29,4,0.13,1,14.37,1,,,21828,6,22214,6,5.7,2,5.69,2,59.49,6,382632,7,390141,7,341.14,6,6.54,6,52.08,7,4.8,5,85.3,7,436.2,6,-0.01,10,-0.08,10,,,40.33,5,,,,,,,,,100716,7,29571,7,1.35,1,17.65,5,1.48,1,,,,,65.71,5,19.17,5,69.17,4,64.52,6
