"시군구코드","연도","시군구명","대졸인구비율","대졸인구비율등급","여성종사자비율","여성종사자비율등급","20세미만인구성장률","20세미만인구성장률등급","투표율","투표율등급","재정자립도","재정자립도등급","경제활동인구대비종사자수","경제활동인구대비종사자수등급","1인당지역내총생산","1인당지역내총생산등급","특허출원건수","특허출원건수등급","1인당주민세","1인당주민세등급","1인당공원면적","1인당공원면적등급","도로밀도","도로밀도등급","1만인당공무원수","1만인당공무원수등급","건축허가면적증감률","건축허가면적증감률등급","주민등록인구전출입률","주민등록인구전출입률등급","폐기물재활용률","폐기물재활용률등급","1만인당사회복지시설수","1만인당사회복지시설수등급","1만인당문화체육시설수","1만인당문화체육시설수등급","1만인당축제건수","1만인당축제건수등급","비영리단체수","비영리단체수등급"
"11680","2000",서울특별시 강남구,31.44,7,33.37,5,-22.61,10,60.59,5,90.8,7,1.15,7,,0,,,486.94,7,8.33,1,10.51,7,27.4,2,-39.08,10,-1.27,10,42.05,4,0.11,3,1.78,1,0,1,,
"26260","2010",부산광역시 동래구,19.67,6,49.76,6,-7.7,10,53.2,5,24.1,5,0.29,5,2750641,5,225,2,72.13,5,17.73,4,10.92,6,27.58,1,811.86,7,-1.07,10,45.19,4,0.64,2,12.29,5,0.04,1,50,6
"26320","2005",부산광역시 북구,13.12,6,57.1,6,-4.99,10,56.63,5,20.9,5,0.12,2,1816116,4,218,2,26.69,1,2.51,1,3.7,5,19.92,1,-2.38,1,0.27,10,77.78,6,0.12,1,7.74,4,0.03,1,10,3
"26380","2010",부산광역시 사하구,14.71,6,38.75,5,-15.91,10,49.77,5,18.8,4,0.32,5,4903994,6,537,5,86.44,6,2.79,1,6.55,4,24.9,1,36.13,2,-1.78,10,72.64,6,0.44,1,9.96,4,0.03,1,22,4
"26410","2005",부산광역시 금정구,16.83,6,43.79,6,-24.8,10,57.5,5,33.9,6,0.28,5,2665207,5,357,4,59.44,4,4.85,1,2.27,4,26.78,1,-51.24,1,-2.51,10,69.24,5,0.58,6,9.8,5,0.04,1,35,6
"26530","2010",부산광역시 사상구,11.49,5,35,5,-22.72,10,48.2,5,22.3,5,0.51,6,5442764,6,490,5,96.05,6,2.88,1,5.8,4,28.82,2,-70.13,1,-0.53,10,83.69,6,0.4,1,12.21,5,0,1,23,4
"26710","2005",부산광역시 기장군,11.36,6,34.33,5,-5.1,10,63.8,6,39.2,6,0.43,6,1929960,4,139,1,146.26,6,221.66,7,1.09,1,67.23,5,229.62,7,0.36,10,93.47,6,0.41,5,9.45,5,0.55,6,5,1
"27110","2000",대구광역시 중구,11.29,6,49.64,6,-36.74,10,63.65,5,52.4,6,0.96,7,,0,,,225.46,7,2.86,1,15.63,7,70.81,6,-31.98,10,-4.25,10,65.19,5,0.23,5,43.23,7,0.12,4,,
"27140","2005",대구광역시 동구,14.25,6,41.51,6,-13.33,10,57.27,5,24.7,5,0.23,5,3007672,5,206,2,37.12,2,8.93,2,1.74,3,25.1,1,126.59,6,-0.58,10,68.54,5,0.54,6,8.11,5,0.06,1,23,6
"27170","2000",대구광역시 서구,5.73,5,37.24,5,-30.13,10,58.73,5,38.1,6,0.28,5,,0,,,33.99,4,1.56,1,10.74,7,24.17,2,-6.3,10,-3.22,10,26.99,3,0.14,4,10.07,4,0,1,,
