,Unnamed: 0,시군구명,과거대비인구변화,최근인구변화,과거대비사업체변화,최근사업체변화,노후건축물비율,인구사회,여성종사자비율,20세미만인구성장률,재정자립도,경제활동인구대비종사자수,특허출원건수,1인당주민세,1인당공원면적,도로밀도,1만인당공무원수,건축허가면적증감률,주민등록인구전출입률,폐기물재활용률,1만인당사회복지시설수,1만인당문화체육시설수,1만인당축제건수,비영리단체수,비영리단체수등급,cluster_인구사회,cluster_산업경제,시군구코드,cluster_물리환경,cluster_final
0,0,강원도 양양군,-30.05,3.0,3.63,0.0,39.42,1.0,44.38,-2.2,13.58,0.61,25.0,20.81,6.35,0.91,202.61,-0.21,2.03,77.03,58.0,35.57,1.16,6.0,1.0,0,1,42830,0,1
1,1,전라남도 여수시,-14.27,5.0,3.16,0.0,64.64,1.0,34.41,-4.49,36.85,0.61,210.0,61.86,24.64,3.02,67.65,-9.95,-0.11,74.41,41.14364285714286,30.89,0.23,79.0,6.0,1,1,46130,2,4
2,2,경상북도 봉화군,-60.15,5.0,1.37,0.0,65.72,1.0,30.42,-6.3,8.97,0.44,21.0,21.47,22.84,0.84,204.83,-41.55,-1.15,79.5,92.86,23.8,1.01,6.0,1.0,0,0,47920,1,1
3,5,충청남도 서천군,-51.49,5.0,2.5,1.0,57.18,1.0,47.52,-5.09,13.09,0.64,58.0,37.32,19.06,1.94,99.73,0.3038607594936721,-1.09,87.13715189873417,71.03,17.66,1.61,18.0,1.0,0,1,44770,0,1
4,6,경상남도 함안군,-9.07,4.0,4.24,1.0,32.75,1.0,29.15,-4.97,25.42,0.94,136.0,60.02,23.44,1.64,82.41,39.54,-1.52,87.36,58.77,14.09,0.16,17.0,1.0,1,1,48730,0,2
5,7,부산광역시 동구,-55.61,5.0,-3.25,2.0,86.26,1.0,47.37,-1.46,18.93,1.17,88.0,63.02,0.79,9.63,71.67,-13.76,2.03,97.11,12.51,18.52,0.12,104.0,6.0,0,0,26170,1,1
6,8,강원도 고성군,-39.42,3.0,3.38,0.0,60.06,1.0,45.63,-4.74,14.33,0.55,29.0,18.12,21.22,0.55,206.9,4.51,-2.68,94.2,48.59,30.56,1.18,3.0,1.0,0,1,42820,0,1
7,10,대구광역시 동구,-6.1,1.0,1.05,0.0,71.86,0.0,45.14,-5.12,19.46,0.4,522.0,24.95,6.96,2.1,28.49,-57.57,-1.63,94.38,9.11,12.42,0.06,61.0,5.0,1,0,27140,1,2
8,11,대전광역시 동구,-18.55,4.0,0.08,1.0,75.9,1.0,45.54,-3.82,11.49,0.34,334.0,21.51,2.4,1.9,26.52,32.37,-0.77,74.57,10.36,10.31,0.1225,81.0,6.0,0,0,30110,1,1
9,14,전라북도 남원시,-43.35,5.0,-1.99,2.0,64.74,1.0,47.3,-5.25,11.37,0.39,68.0,15.31,41.41,1.24,99.59,-3.54,-0.86,89.62,69.15,21.78,0.13,44.0,5.0,0,0,45190,1,1
10,15,경상남도 진주시,1.49,2.0,2.48,0.0,67.51,0.0,45.88,-2.7,35.17,0.44,858.0,25.45,31.04,2.33,34.32,-15.81,0.42,84.69,17.26,13.11,0.12,104.0,6.0,2,1,48170,1,4
11,17,강원도 속초시,-10.57,2.0,3.45,0.0,65.56,0.0,48.49,-4.24,23.2,0.45,33.0,19.29,8.56,3.12,81.21,12.78,0.3,64.59,16.32,21.63,0.39,27.0,3.0,1,1,42210,1,3
12,18,강원도 양구군,-28.13,4.0,3.0,0.0,47.85,1.0,42.39,-5.47,14.13,0.34,7.0,9.3,41.52,0.37,231.69,-31.31,-2.76,93.33,49.15,42.59,1.4,2.0,1.0,0,1,42800,0,1
13,19,전라북도 전주시,0.28,3.0,2.91,0.0,61.19,1.0,48.52,-2.8,30.95,0.42,1633.0,21.82,25.08,7.5,25.37,61.45,0.47,86.26,11.73,17.42,0.773076923076923,431.0,7.0,1,1,45110,1,3
14,20,전라남도 담양군,-49.83,2.0,6.83,1.0,53.37,1.0,39.72,-5.47,17.85,0.58,113.0,20.93,26.01,0.87,155.39,-5.56,-0.09,86.53,41.14364285714286,19.6,0.71,10.0,1.0,0,1,46710,0,1
15,21,경상남도 산청군,-46.97,2.0,0.5,1.0,64.95,1.0,44.42,-7.53,14.97,0.47,74.0,17.09,15.5,0.9,135.03,-33.09,-0.56,90.55,113.9,78.39,1.84,14.0,1.0,0,0,48860,1,1
16,22,대전광역시 유성구,17.01,1.0,3.56,0.0,32.18,0.0,38.66,-3.59,31.4,0.53,8198.0,64.0,12.86,2.21,17.27,2.43,-0.54,58.12,6.84,17.32,0.06,94.0,6.0,2,0,30200,2,4
17,24,경상북도 예천군,-57.17,1.0,5.81,1.0,66.64,1.0,47.89,6.74,13.05,0.29,44.0,12.56,19.33,1.26,131.26,-41.72,3.79,95.6,72.52,15.88,0.77,15.0,1.0,0,1,47900,1,2
18,26,대구광역시 달서구,-1.4,5.0,0.13,1.0,64.43,1.0,43.61,-4.66,24.98,0.42,1190.0,26.12,4.74,4.95,21.17,3.62,-0.83,83.99,6.31,14.28,0.02,63.0,5.0,1,0,27290,1,2
19,27,전라남도 해남군,-55.09,5.0,0.71,1.0,66.17,1.0,44.81,-7.94,21.67,0.46,66.0,17.78,19.66,0.55,128.87,13.83,-1.53,91.24,41.14364285714286,15.51,0.79,11.0,1.0,0,0,46820,1,1
20,29,인천광역시 강화군,-26.11,0.0,3.6,1.0,46.9,1.0,46.98,-1.36,19.18,0.36,59.0,12.89,0.74,0.19,86.87,29.67,1.06,92.43,52.81,31.09,0.94,31.0,3.0,1,1,28710,0,2
21,30,광주광역시 남구,-21.79,3.0,4.08,0.0,74.34,1.0,50.85,-1.51,13.13,0.35,160.0,14.06,9.06,3.22,28.87,130.23,0.85,85.27,15.38,20.57,0.09,107.0,6.0,1,1,29155,1,3
22,32,충청남도 홍성군,-23.56,2.0,2.52,0.0,44.77,1.0,44.53,-3.83,19.3,0.45,115.0,18.89,14.5,0.9,60.08,0.3038607594936721,-0.28,87.13715189873417,41.23,10.58,0.4,16.0,1.0,1,1,44800,0,2
23,33,충청북도 옥천군,-40.34,5.0,1.21,1.0,61.05,1.0,40.61,-5.87,17.47,0.52,86.0,27.88,14.49,1.01,106.93,-28.51,-0.03,93.09,41.14364285714286,67.61,1.04,16.0,1.0,0,1,43730,0,1
24,34,충청북도 영동군,-42.32,5.0,1.72,0.0,43.84,1.0,40.81,-3.13,16.66,0.37,50.0,17.73,15.13,0.61,106.81,45.17,-1.1,88.5,41.14364285714286,18.33,0.85,19.0,1.0,0,1,43740,0,1
25,35,전라남도 신안군,-69.21,5.0,-3.68,2.0,73.35,1.0,39.68,-7.07,8.55,0.26,16.0,10.67,68.63,0.73,231.95,-26.41,-1.47,89.13,41.14364285714286,29.47,0.88,4.0,1.0,0,0,46910,1,1
26,36,세종특별자치시 세종시,-26.46965116279069,3.25,15.46,0.0,50.8,0.0,43.67,6.08,72.72,0.37,813.0,27.05,66.32,6.45,12.23,-82.48,7.24,84.01,16.38,13.65,0.06,33.0,4.0,2,2,36110,0,4
27,37,강원도 춘천시,0.65,1.0,3.24,0.0,50.19,0.0,48.1,-3.47,26.95,0.45,877.0,20.84,13.77,1.24,59.02,-60.76,0.26,85.5,21.8,24.6,0.22,105.0,6.0,2,1,42110,0,3
28,38,경상남도 거창군,-34.53,2.0,1.13,1.0,64.6,1.0,42.77,-2.29,24.57,0.41,32.0,17.55,13.35,0.98,89.12,25.32,0.25,89.11,78.64,13.87,0.51,17.0,1.0,1,1,48880,1,3
29,40,부산광역시 북구,-9.6,4.0,0.11,0.0,76.53,1.0,59.11,-6.66,15.59,0.21,231.0,12.04,2.89,3.12,28.02,147.05,-1.93,92.5,7.91,11.28,0.04,41.0,4.0,1,0,26320,1,2
30,41,대구광역시 수성구,-3.01,5.0,0.7,0.0,74.44,1.0,49.07,-3.95,30.93,0.36,527.0,14.96,9.69,2.6,26.28,-20.29,-0.84,95.11,7.29,14.87,0.02,83.0,6.0,1,0,27260,1,2
31,42,전라북도 군산시,-6.39,4.0,-0.09,2.0,60.71,1.0,40.39,-4.43,21.6,0.45,485.0,35.27,28.61,3.51,42.13,8.49,-0.74,83.31,22.86,14.02,0.08,82.0,6.0,1,0,45130,0,1
32,43,전라북도 무주군,-51.1,5.0,2.16,2.0,58.9,1.0,41.13,-4.2,17.97,0.51,13.0,21.6,4.97,0.61,187.37,-46.95,-0.13,92.89,126.54,40.85,0.89,19.0,1.0,0,1,45730,0,1
33,44,광주광역시 북구,-5.25,3.0,1.1,1.0,65.8,1.0,44.24,-4.41,16.51,0.42,1618.0,23.19,18.5,3.25,19.53,-8.16,-1.49,90.67,11.39,17.97,0.0733333333333333,192.0,7.0,1,0,29170,1,2
34,45,전라남도 목포시,-5.65,5.0,0.05,0.0,76.9,1.0,49.84,-4.35,21.58,0.38,170.0,15.4,34.99,12.91,56.12,-12.9,-0.96,77.73,41.14364285714286,17.83,0.09,137.0,7.0,1,0,46110,1,2
35,46,부산광역시 부산진구,-27.75,5.0,0.65,0.0,83.0,1.0,51.49,-4.9,22.88,0.56,554.0,27.42,13.57,7.5,27.62,-46.72,-1.06,95.83,8.88,15.64,0.06,158.0,7.0,0,0,26230,1,1
