,시군구명,물리환경,과거대비인구변화,최근인구변화,과거대비사업체변화,최근사업체변화,노후건축물비율,시군구코드,20세미만인구성장률,재정자립도,경제활동인구대비종사자수,특허출원건수,1인당주민세,1인당공원면적,도로밀도,1만인당공무원수,주민등록인구전출입률,폐기물재활용률,1만인당사회복지시설수,1만인당문화체육시설수,1만인당축제건수,cluster
25,부산광역시 중구,1,-51.989,5,-1.418,1.0,80.871,26110,-9.45,31.57,2.03,47.0,100.22,128.84,7.52,120.36,-1.39,90.88,10.62,29.59,0.76,2
26,부산광역시 서구,1,-47.947,3,-3.793,2.0,85.443,26140,-4.81,16.32,0.52,104.0,40.68,9.18,5.8,60.6,-1.55,96.9,9.86,14.69,0.1,1
27,부산광역시 동구,1,-55.607,5,-3.254,2.0,86.257,26170,-1.46,18.93,1.17,88.0,63.02,0.79,9.63,71.67,2.03,97.11,12.51,18.52,0.12,1
28,부산광역시 영도구,1,-39.292,5,0.13,1.0,83.783,26200,-6.89,13.97,0.44,328.0,24.37,7.32,6.98,54.05,-2.17,92.79,9.67,11.83,0.17,1
29,부산광역시 부산진구,1,-27.753,5,0.653,0.0,83.001,26230,-4.9,22.88,0.56,554.0,27.42,13.57,7.5,27.62,-1.06,95.83,8.88,15.64,0.06,1
30,부산광역시 동래구,1,-21.775,4,-2.614,1.0,82.18,26260,-0.37,22.72,0.39,285.0,17.52,18.59,5.83,28.04,1.84,93.95,7.36,10.98,0.04,1
31,부산광역시 남구,1,-17.447,3,3.299,1.0,79.993,26290,-5.2,31.02,0.36,587.0,25.22,8.96,4.87,29.22,-1.79,96.74,8.11,11.35,0.04,1
32,부산광역시 북구,1,-9.603,4,0.114,0.0,76.534,26320,-6.66,15.59,0.21,231.0,12.04,2.89,3.12,28.02,-1.93,92.5,7.91,11.28,0.04,1
33,부산광역시 해운대구,1,-1.229,5,2.464,0.0,78.334,26350,-4.55,29.12,0.45,705.0,24.48,5.51,3.53,26.67,-0.75,94.45,8.25,13.49,0.08,1
34,부산광역시 사하구,1,-13.518,5,-0.169,1.0,82.627,26380,-6.56,18.88,0.4,582.0,26.08,1.41,4.61,28.12,-1.95,89.66,7.55,13.28,0.16,1
35,부산광역시 금정구,1,-22.96,5,0.077,1.0,77.082,26410,-5.47,22.78,0.44,585.0,21.42,5.71,3.18,32.58,-1.38,91.91,7.44,15.43,0.04,1
36,부산광역시 연제구,1,-22.899,2,-0.026,1.0,80.542,26470,0.06,23.45,0.48,187.0,24.7,0.42,4.85,31.7,0.73,96.14,7.79,8.33,0.05,1
37,부산광역시 수영구,1,-17.806,1,2.147,2.0,79.208,26500,-3.11,22.91,0.4,178.0,18.39,0.94,11.88,35.54,0.08,97.6,7.06,15.48,0.06,1
38,부산광역시 사상구,1,-20.415,5,-0.593,1.0,73.537,26530,-6.18,23.22,0.64,507.0,32.77,3.31,4.78,33.81,-2.22,92.82,7.6,15.56,0.05,1
39,대구광역시 중구,1,-57.701,2,0.959,1.0,80.942,27110,-3.75,31.05,1.38,92.0,67.62,0.74,12.29,82.91,-2.47,96.25,11.38,24.64,0.54,2
40,대구광역시 동구,1,-6.098,1,1.047,0.0,71.862,27140,-5.12,19.46,0.4,522.0,24.95,6.96,2.1,28.49,-1.63,94.38,9.11,12.42,0.06,1
41,대구광역시 서구,1,-50.72,5,-3.119,2.0,84.072,27170,-9.67,18.14,0.5,196.0,25.6,3.31,8.49,43.05,-4.63,79.38,9.72,13.5,0.1485714285714285,1
42,대구광역시 남구,1,-42.616,5,-0.365,1.0,81.87,27200,-6.15,15.37,0.44,145.0,22.29,0.7,6.64,45.66,-1.21,94.93,8.99,12.98,0.34,1
43,대구광역시 북구,1,-3.238,2,0.393,0.0,62.637,27230,-3.59,20.71,0.4,1277.0,18.61,4.32,3.24,25.19,-0.46,89.72,8.36,12.28,0.02,1
44,대구광역시 수성구,1,-3.005,5,0.696,0.0,74.443,27260,-3.95,30.93,0.36,527.0,14.96,9.69,2.6,26.28,-0.84,95.11,7.29,14.87,0.02,1
45,대구광역시 달서구,1,-1.397,5,0.127,1.0,64.435,27290,-4.66,24.98,0.42,1190.0,26.12,4.74,4.95,21.17,-0.83,83.99,6.31,14.28,0.02,1
46,대구광역시 달성군,1,8.809,0,4.115,0.0,51.165,27710,1.84,39.12,0.49,848.0,45.28,24.47,1.39,36.63,1.74,79.69,14.85,13.29,0.04,0
47,인천광역시 동구,1,-54.202,5,-3.772,2.0,76.53,28140,-8.02,34.4,0.68,407.0,61.64,1.0,7.37,74.99,-2.55,90.34,10.04,15.55,0.16,2
48,인천광역시 미추홀구,1,-7.53,2,0.271,1.0,74.654,28170,-4.14,20.51,0.33,499.0,17.18,2.61,14.07,19.19,-1.86,92.97,6.94,17.96,0.03,1
49,인천광역시 연수구,1,11.575,0,5.374,0.0,61.195,28185,5.84,46.77,0.38,1575.0,38.8,3.79,2.54,18.96,5.31,87.33,11.9,11.08,0.06,0
